state,sat17_takers,2017_high_school_graduates,sat18_takers,2018_high_school_graduates,median_household_income
Alabama,2393,49102,2878,49844,42830 
Alaska,2971,7770,3334,7796,71583 
Arizona,20466,67909,20188,68627,50068 
Arkansas,1065,30904,1591,31126,41262 
California,226699,425864,262228,435365,61933 
Colorado,5896,55537,58790,57545,61303 
Connecticut,43252,41529,44700,40782,70048 
Delaware,10060,9572,11055,9809,59716 
District of Columbia,4801,5305,4985,5397,71648 
Florida,147058,177707,176746,181306,47463 
Georgia,63805,103912,74240,106727,49321 
Hawaii,7352,13330,7880,14043,69592 
Idaho,18757,20164,20484,20239,47861 
Illinois,12402,144616,145919,146800,57444 
Indiana,45622,72021,48962,73285,49446 
Iowa,861,34791,994,35471,53712 
Kansas,1199,34123,1419,35398,52504 
Kentucky,1608,45461,1925,46389,42958 
Louisiana,1696,44319,2027,46235,44555 
Maine,13826,14624,14310,14428,49462 
Maryland,42919,62009,48040,63485,73971 
Massachusetts,56024,73335,59382,73992,71919 
Michigan,110082,102997,115281,104586,49847 
Minnesota,2061,60915,2464,61766,61481 
Mississippi,716,28761,806,29788,39680 
Missouri,1990,67196,2420,68681,48363 
Montana,990,9494,952,9402,46328 
Nebraska,680,22543,688,23627,52686 
Nevada,6245,23919,5588,24688,51450 
New Hampshire,14758,15446,14834,15401,66532 
New Jersey,72173,103175,84672,103598,69160 
New Mexico,2342,20401,3225,20478,44803 
New York,135141,201290,162551,206830,58878 
North Carolina,49595,101408,54987,106104,46556 
North Dakota,123,7522,148,7400,59029 
Ohio,14545,123075,22992,124473,49308 
Oklahoma,2776,40897,3337,41753,47529 
Oregon,15866,36704,17476,36734,51075 
Pennsylvania,89218,137536,96740,139053,53234 
Rhode Island,7205,10158,10161,10464,54891 
South Carolina,22292,44954,25390,46536,45238 
South Dakota,237,8405,260,8703,50979 
Tennessee,3495,67044,4181,67863,44361 
Texas,204409,328451,226374,341613,53035 
Utah,1277,37874,1425,38706,60922 
Vermont,4303,7160,4323,6777,54166 
Virginia,57453,87930,61576,90456,64902 
Washington,43911,68668,48574,70307,61366 
West Virginia,2406,17477,5058,17815,41059 
Wisconsin,1780,65189,1923,66246,52622 
Wyoming,144,5744,169,5820,57055 